Soil Type,Previous Crop,Acre of Land,Rainfall Frequency,Porosity,Recommended Crop
Chalky,Soybean,18,High,High,Oats
Silty,Corn,19,Medium,Medium,Rice
Loamy,Barley,8,Medium,Medium,Sunflower
Chalky,Sugarcane,20,Low,Medium,Oats
Sandy,Sesame,12,Medium,High,Mustard
Peaty,Peas,12,High,High,Sesame
Loamy,Lentils,9,Low,Low,Corn
Peaty,Sugarcane,1,Medium,Low,Sesame
Peaty,Mustard,4,Low,Low,Sesame
Peaty,Soybean,1,High,Medium,Soybean
Chalky,Flaxseed,5,Medium,Low,Flaxseed
Peaty,Soybean,10,Low,High,Sesame
Loamy,Soybean,13,High,Medium,Corn
Sandy,Wheat,9,High,Low,Cotton
Clay,Soybean,11,Medium,High,Oats
Clay,Peas,15,Low,Low,Soybean
Clay,Lentils,16,High,High,Soybean
Silty,Mustard,4,Medium,High,Soybean
Peaty,Cotton,4,Low,High,Lentils
Sandy,Soybean,2,Low,Low,Mustard
Chalky,Lentils,15,Low,High,Oats
Loamy,Corn,12,High,Medium,Corn
Chalky,Rice,18,Medium,High,Barley
Silty,Millets,5,High,High,Soybean
Silty,Peas,3,High,High,Tomato
Loamy,Barley,1,Low,High,Peas
Chalky,Cotton,8,High,Low,Barley
Peaty,Corn,5,Medium,Medium,Sesame
Peaty,Lentils,10,High,High,Sesame
Chalky,Peas,18,High,Low,Barley
Chalky,Peas,15,Low,Low,Flaxseed
Chalky,Millets,5,Low,High,Barley
Chalky,Mustard,20,High,High,Barley
Clay,Mustard,12,Medium,Low,Sunflower
Silty,Sesame,13,Medium,Low,Rice
Chalky,Flaxseed,17,Low,High,Oats
Silty,Sugarcane,11,Low,Medium,Soybean
Chalky,Chickpea,8,Low,Low,Flaxseed
Clay,Lentils,17,High,High,Cabbage
Loamy,Corn,1,High,Medium,Corn
Chalky,Lentils,2,Medium,High,Barley
Clay,Mustard,19,Medium,Medium,Peas
Loamy,Barley,1,Low,High,Corn
Loamy,Corn,7,Low,Medium,Peas
Peaty,Soybean,13,Medium,Low,Lentils
Chalky,Soybean,20,High,High,Flaxseed
Sandy,Sunflower,2,Low,High,Millets
Loamy,Millets,14,High,High,Peas
Silty,Corn,12,Low,Medium,Tomato
Chalky,Wheat,18,Medium,High,Oats
Chalky,Wheat,15,High,High,Barley
Silty,Cotton,5,Medium,Medium,Tomato
Chalky,Mustard,13,Low,Low,Oats
Chalky,Rice,13,Medium,High,Barley
Loamy,Wheat,6,Medium,High,Sunflower
Silty,Peas,15,Medium,High,Rice
Clay,Sugarcane,16,Low,High,Millets
Clay,Mustard,17,Medium,Medium,Spinach
Peaty,Corn,5,High,Medium,Soybean
Loamy,Soybean,4,High,Low,Sunflower
Sandy,Soybean,9,Low,High,Millets
Loamy,Peas,10,Low,Low,Peas
Clay,Wheat,11,High,Low,Oats
Silty,Soybean,5,High,High,Tomato
Sandy,Mustard,7,Medium,Low,Cotton
Sandy,Peas,15,Low,High,Cotton
Sandy,Soybean,6,Low,Medium,Millets
Loamy,Lentils,18,Low,Medium,Sunflower
Clay,Peas,11,High,Low,Carrot
Sandy,Lentils,17,Low,Medium,Cotton
Loamy,Corn,17,Low,Medium,Peas
Sandy,Sunflower,1,Low,High,Millets
Peaty,Sugarcane,15,Low,Low,Soybean
Chalky,Flaxseed,12,Medium,Low,Oats
Sandy,Maize,10,Medium,Low,Mustard
Clay,Millets,14,Low,Medium,Chickpea
Sandy,Sesame,14,Low,High,Cotton
Chalky,Soybean,19,Medium,Medium,Barley
Peaty,Sunflower,7,Low,Low,Soybean
